Source,Target,Weight
24,23,48858375
24,24,0
24,25,38347750
24,26,41667245
24,27,39773355
24,28,56311290
24,29,52219920
25,1,2127043
25,2,4146335
25,3,15816230
25,4,19762207
25,5,869040
25,6,124221123
25,7,13981370
25,8,19588970
25,9,1761470
25,10,65726459
25,11,9577595
25,12,114744170
25,13,15722930
25,14,8460690
25,15,13064060
25,16,20829060
25,17,73725270
25,18,21573080
25,19,14915782
25,20,20326850
25,21,19133615
25,22,10346482
25,23,10510625
25,24,38347750
25,25,0
25,26,3319495
25,27,1425605
25,28,17963540
25,29,13872170
26,1,5446538
26,2,826840
26,3,12496735
26,4,16442712
26,5,2450455
26,6,127540618
26,7,10661875
26,8,16269475
26,9,1558025
26,10,69045954
26,11,6258100
26,12,118063665
26,13,12403435
26,14,5141195
26,15,9744565
26,16,17509565
26,17,77044765
26,18,18253585
26,19,11596287
26,20,17007355
26,21,15814120
26,22,13665977
26,23,7191130
26,24,41667245
26,25,3319495
26,26,0
26,27,1893890
26,28,14644045
26,29,10552675
27,1,3552648
27,2,2720730
27,3,14390625
27,4,18336602
27,5,556565
27,6,125646728
27,7,12555765
27,8,18163365
27,9,335865
27,10,67152064
27,11,8151990
27,12,116169775
27,13,14297325
27,14,7035085
27,15,11638455
27,16,19403455
27,17,75150875
27,18,20147475
27,19,13490177
27,20,18901245
27,21,17708010
27,22,11772087
27,23,9085020
27,24,39773355
27,25,1425605
27,26,1893890
27,27,0
27,28,16537935
27,29,12446565
28,1,20090583
28,2,13817205
28,3,2147310
28,4,1798667
28,5,17094500
28,6,142184663
28,7,3982170
28,8,1625430
28,9,16202070
28,10,83689999
28,11,8385945
28,12,132707710
28,13,2240610
28,14,9502850
28,15,4899480
28,16,2865520
28,17,91688810
28,18,3609540
28,19,3047758
28,20,2363310
28,21,1170075
28,22,28310022
28,23,7452915
28,24,56311290
28,25,17963540
28,26,14644045
28,27,16537935
28,28,0
28,29,4091370
29,1,15999213
29,2,9725835
29,3,1944060
29,4,5890037
29,5,13003130
29,6,138093293
29,7,109200
29,8,5716800
29,9,12110700
29,10,79598629
29,11,4294575
29,12,128616340
29,13,1850760
29,14,5411480
29,15,808110
29,16,6956890
29,17,87597440
29,18,7700910
29,19,1043612
29,20,6454680
29,21,5261445
29,22,24218652
29,23,3361545
29,24,52219920
29,25,13872170
29,26,10552675
29,27,12446565
29,28,4091370
29,29,0
